matrix, M, N, nz, type, avgTime, avgGFlops, threadsPerBlock
cage4, 9, 9, 49, serial, 0.000400, 0.245000, 0
cage4, 9, 9, 49, CSR, 0.007762, 0.012626, 128
cage4, 9, 9, 49, HLL, 0.007907, 0.012394, 128
mhda416, 416, 416, 8562, serial, 0.008750, 1.957029, 0
mhda416, 416, 416, 8562, CSR, 0.008683, 1.972084, 128
mhda416, 416, 416, 8562, HLL, 0.012197, 1.403975, 128
mcfe, 765, 765, 24382, serial, 0.027000, 1.806074, 0
mcfe, 765, 765, 24382, CSR, 0.009702, 5.025973, 128
mcfe, 765, 765, 24382, HLL, 0.019301, 2.526527, 128
olm1000, 1000, 1000, 3996, serial, 0.004000, 1.998000, 0
olm1000, 1000, 1000, 3996, CSR, 0.008720, 0.916514, 128
olm1000, 1000, 1000, 3996, HLL, 0.009061, 0.882041, 128
adder_dcop_32, 1813, 1813, 11246, serial, 0.018100, 1.242652, 0
adder_dcop_32, 1813, 1813, 11246, CSR, 0.012162, 1.849428, 128
adder_dcop_32, 1813, 1813, 11246, HLL, 0.173405, 0.129708, 128
west2021, 2021, 2021, 7353, serial, 0.007750, 1.897548, 0
west2021, 2021, 2021, 7353, CSR, 0.010533, 1.396210, 128
west2021, 2021, 2021, 7353, HLL, 0.009667, 1.521226, 128
cavity10, 2597, 2597, 76367, serial, 0.074800, 2.041898, 0
cavity10, 2597, 2597, 76367, CSR, 0.013696, 11.151723, 128
cavity10, 2597, 2597, 76367, HLL, 0.018245, 8.371372, 128
rdist2, 3198, 3198, 56934, serial, 0.052400, 2.173053, 0
rdist2, 3198, 3198, 56934, CSR, 0.013520, 8.422189, 128
rdist2, 3198, 3198, 56934, HLL, 0.016832, 6.764971, 128
cant, 62451, 62451, 4007383, serial, 4.587850, 1.746955, 0
cant, 62451, 62451, 4007383, CSR, 0.152339, 52.611318, 128
cant, 62451, 62451, 4007383, HLL, 0.167413, 47.874272, 128
olafu, 16146, 16146, 1015156, serial, 1.077650, 1.884018, 0
olafu, 16146, 16146, 1015156, CSR, 0.046530, 43.634848, 128
olafu, 16146, 16146, 1015156, HLL, 0.058504, 34.703815, 128
Cube_Coup_dt0, 2164760, 2164760, 127206144, serial, 140.191600, 1.814747, 0
Cube_Coup_dt0, 2164760, 2164760, 127206144, CSR, 4.264973, 59.651562, 128
Cube_Coup_dt0, 2164760, 2164760, 127206144, HLL, 4.109520, 61.908030, 128
ML_Laplace, 377002, 377002, 27689972, serial, 30.844500, 1.795456, 0
ML_Laplace, 377002, 377002, 27689972, CSR, 0.983054, 56.334567, 128
ML_Laplace, 377002, 377002, 27689972, HLL, 0.903349, 61.305161, 128
bcsstk17, 10974, 10974, 428650, serial, 0.418950, 2.046306, 0
bcsstk17, 10974, 10974, 428650, CSR, 0.028603, 29.972171, 128
bcsstk17, 10974, 10974, 428650, HLL, 0.050538, 16.963607, 128
mac_econ_fwd500, 206500, 206500, 1273389, serial, 1.570700, 1.621429, 0
mac_econ_fwd500, 206500, 206500, 1273389, CSR, 0.317610, 8.018580, 128
mac_econ_fwd500, 206500, 206500, 1273389, HLL, 0.145491, 17.504688, 128
mhd4800a, 4800, 4800, 102252, serial, 0.093300, 2.191897, 0
mhd4800a, 4800, 4800, 102252, CSR, 0.016842, 12.142789, 128
mhd4800a, 4800, 4800, 102252, HLL, 0.013893, 14.720143, 128
cop20k_A, 121192, 121192, 2624331, serial, 4.152950, 1.263839, 0
cop20k_A, 121192, 121192, 2624331, CSR, 0.204976, 25.606227, 128
cop20k_A, 121192, 121192, 2624331, HLL, 0.126605, 41.457054, 128
raefsky2, 3242, 3242, 294276, serial, 0.326200, 1.804267, 0
raefsky2, 3242, 3242, 294276, CSR, 0.018971, 31.023446, 128
raefsky2, 3242, 3242, 294276, HLL, 0.024960, 23.579808, 128
af23560, 23560, 23560, 484256, serial, 0.425000, 2.278852, 0
af23560, 23560, 23560, 484256, CSR, 0.048069, 20.148454, 128
af23560, 23560, 23560, 484256, HLL, 0.024875, 38.934842, 128
lung2, 109460, 109460, 492564, serial, 0.510300, 1.930488, 0
lung2, 109460, 109460, 492564, CSR, 0.175053, 5.627605, 128
lung2, 109460, 109460, 492564, HLL, 0.050542, 19.491120, 128
PR02R, 161070, 161070, 8185136, serial, 9.015550, 1.815782, 0
PR02R, 161070, 161070, 8185136, CSR, 0.323546, 50.596491, 128
PR02R, 161070, 161070, 8185136, HLL, 0.368146, 44.466842, 128
FEM_3D_thermal1, 17880, 17880, 430740, serial, 0.386750, 2.227485, 0
FEM_3D_thermal1, 17880, 17880, 430740, CSR, 0.040339, 21.355902, 128
FEM_3D_thermal1, 17880, 17880, 430740, HLL, 0.024090, 35.761490, 128
thermal1, 82654, 82654, 574458, serial, 0.814650, 1.410319, 0
thermal1, 82654, 82654, 574458, CSR, 0.134552, 8.538825, 128
thermal1, 82654, 82654, 574458, HLL, 0.046419, 24.750879, 128
thermal2, 1228045, 1228045, 8580313, serial, 15.944650, 1.076262, 0
thermal2, 1228045, 1228045, 8580313, CSR, 1.546722, 11.094838, 128
thermal2, 1228045, 1228045, 8580313, HLL, 0.439763, 39.022424, 128
thermomech_TK, 102158, 102158, 711558, serial, 1.122700, 1.267584, 0
thermomech_TK, 102158, 102158, 711558, CSR, 0.162717, 8.745968, 128
thermomech_TK, 102158, 102158, 711558, HLL, 0.053846, 26.429176, 128
nlpkkt80, 1062400, 1062400, 28704672, serial, 30.422700, 1.887056, 0
nlpkkt80, 1062400, 1062400, 28704672, CSR, 1.337648, 42.918125, 128
nlpkkt80, 1062400, 1062400, 28704672, HLL, 0.998968, 57.468652, 128
webbase-1M, 1000005, 1000005, 3105536, serial, 5.957850, 1.042502, 0
webbase-1M, 1000005, 1000005, 3105536, CSR, 1.385493, 4.482933, 128
webbase-1M, 1000005, 1000005, 3105536, HLL, 1.244005, 4.992804, 128
dc1, 116835, 116835, 766396, serial, 0.831550, 1.843295, 0
dc1, 116835, 116835, 766396, CSR, 0.365056, 4.198786, 128
dc1, 116835, 116835, 766396, HLL, 25.377285, 0.060400, 128
amazon0302, 262111, 262111, 1234877, serial, 2.898650, 0.852036, 0
amazon0302, 262111, 262111, 1234877, CSR, 0.397987, 6.205612, 128
amazon0302, 262111, 262111, 1234877, HLL, 0.079963, 30.886133, 128
af_1_k101, 503625, 503625, 17550675, serial, 19.558150, 1.794717, 0
af_1_k101, 503625, 503625, 17550675, CSR, 0.800946, 43.824886, 128
af_1_k101, 503625, 503625, 17550675, HLL, 0.599528, 58.548308, 128
roadNet-PA, 1090920, 1090920, 3083796, serial, 9.648750, 0.639212, 0
roadNet-PA, 1090920, 1090920, 3083796, CSR, 1.454046, 4.241675, 128
roadNet-PA, 1090920, 1090920, 3083796, HLL, 0.218042, 28.286309, 128
