matrix, nz, time_serial, speedup_csr, speedup_hll, nThreads
cage4, 49, 0.000400, 0.051536, 0.050587, 128
mhda416, 8562, 0.008750, 1.007693, 0.717401, 128
mcfe, 24382, 0.027000, 2.782817, 1.398906, 128
olm1000, 3996, 0.004000, 0.458716, 0.441462, 128
adder_dcop_32, 11246, 0.018100, 1.488291, 0.104380, 128
west2021, 7353, 0.007750, 0.735797, 0.801680, 128
cavity10, 76367, 0.074800, 5.461449, 4.099798, 128
rdist2, 56934, 0.052400, 3.875740, 3.113118, 128
cant, 4007383, 4.587850, 30.116018, 27.404416, 128
olafu, 1015156, 1.077650, 23.160526, 18.420108, 128
Cube_Coup_dt0, 127206144, 140.191600, 32.870456, 34.113862, 128
ML_Laplace, 27689972, 30.844500, 31.376188, 34.144618, 128
bcsstk17, 428650, 0.418950, 14.646963, 8.289867, 128
mac_econ_fwd500, 1273389, 1.570700, 4.945380, 10.795842, 128
mhd4800a, 102252, 0.093300, 5.539854, 6.715709, 128
cop20k_A, 2624331, 4.152950, 20.260665, 32.802469, 128
raefsky2, 294276, 0.326200, 17.194484, 13.068910, 128
af23560, 484256, 0.425000, 8.841494, 17.085290, 128
lung2, 492564, 0.510300, 2.915120, 10.096473, 128
PR02R, 8185136, 9.015550, 27.864851, 24.489088, 128
FEM_3D_thermal1, 430740, 0.386750, 9.587448, 16.054646, 128
thermal1, 574458, 0.814650, 6.054537, 17.549850, 128
thermal2, 8580313, 15.944650, 10.308675, 36.257354, 128
thermomech_TK, 711558, 1.122700, 6.899718, 20.850048, 128
nlpkkt80, 28704672, 30.422700, 22.743427, 30.454129, 128
webbase-1M, 3105536, 5.957850, 4.300167, 4.789250, 128
dc1, 766396, 0.831550, 2.277870, 0.032767, 128
amazon0302, 1234877, 2.898650, 7.283274, 36.249800, 128
af_1_k101, 17550675, 19.558150, 24.418824, 32.622580, 128
roadNet-PA, 3083796, 9.648750, 6.635792, 44.251877, 128
