matrix, M, N, nz, type, avgTime, avgGFlops, threadsPerBlock
cage4, 9, 9, 49, serial, 0.000300, 0.326667, 0
cage4, 9, 9, 49, CSR, 0.007941, 0.012341, 128
cage4, 9, 9, 49, HLL, 0.008256, 0.011870, 128
cage4, 9, 9, 49, CSR, 0.007957, 0.012317, 256
cage4, 9, 9, 49, HLL, 0.008088, 0.012117, 256
cage4, 9, 9, 49, CSR, 0.007938, 0.012346, 512
cage4, 9, 9, 49, HLL, 0.008011, 0.012233, 512
cage4, 9, 9, 49, CSR, 0.007498, 0.013071, 1024
cage4, 9, 9, 49, HLL, 0.007872, 0.012449, 1024
mhda416, 416, 416, 8562, serial, 0.008850, 1.934915, 0
mhda416, 416, 416, 8562, CSR, 0.011403, 1.501684, 128
mhda416, 416, 416, 8562, HLL, 0.012200, 1.403607, 128
mhda416, 416, 416, 8562, CSR, 0.013509, 1.267618, 256
mhda416, 416, 416, 8562, HLL, 0.012450, 1.375466, 256
mhda416, 416, 416, 8562, CSR, 0.017118, 1.000327, 512
mhda416, 416, 416, 8562, HLL, 0.013579, 1.261046, 512
mhda416, 416, 416, 8562, CSR, 0.017069, 1.003234, 1024
mhda416, 416, 416, 8562, HLL, 0.013190, 1.298217, 1024
mcfe, 765, 765, 24382, serial, 0.027650, 1.763617, 0
mcfe, 765, 765, 24382, CSR, 0.015733, 3.099512, 128
mcfe, 765, 765, 24382, HLL, 0.019018, 2.564151, 128
mcfe, 765, 765, 24382, CSR, 0.019968, 2.442107, 256
mcfe, 765, 765, 24382, HLL, 0.019371, 2.517345, 256
mcfe, 765, 765, 24382, CSR, 0.025397, 1.920084, 512
mcfe, 765, 765, 24382, HLL, 0.020320, 2.399803, 512
mcfe, 765, 765, 24382, CSR, 0.035813, 1.361636, 1024
mcfe, 765, 765, 24382, HLL, 0.024616, 1.980988, 1024
olm1000, 1000, 1000, 3996, serial, 0.004250, 1.880471, 0
olm1000, 1000, 1000, 3996, CSR, 0.007702, 1.037599, 128
olm1000, 1000, 1000, 3996, HLL, 0.009934, 0.804477, 128
olm1000, 1000, 1000, 3996, CSR, 0.007368, 1.084691, 256
olm1000, 1000, 1000, 3996, HLL, 0.009501, 0.841192, 256
olm1000, 1000, 1000, 3996, CSR, 0.008131, 0.982881, 512
olm1000, 1000, 1000, 3996, HLL, 0.009304, 0.858985, 512
olm1000, 1000, 1000, 3996, CSR, 0.009141, 0.874322, 1024
olm1000, 1000, 1000, 3996, HLL, 0.011046, 0.723494, 1024
adder_dcop_32, 1813, 1813, 11246, serial, 0.018400, 1.222391, 0
adder_dcop_32, 1813, 1813, 11246, CSR, 0.070856, 0.317433, 128
adder_dcop_32, 1813, 1813, 11246, HLL, 0.173494, 0.129641, 128
adder_dcop_32, 1813, 1813, 11246, CSR, 0.071922, 0.312729, 256
adder_dcop_32, 1813, 1813, 11246, HLL, 0.182891, 0.122980, 256
adder_dcop_32, 1813, 1813, 11246, CSR, 0.071720, 0.313608, 512
adder_dcop_32, 1813, 1813, 11246, HLL, 0.182758, 0.123070, 512
adder_dcop_32, 1813, 1813, 11246, CSR, 0.074099, 0.303539, 1024
