matrix, nz, time_serial, speedup_csr, speedup_hll, nThreads
cage4, 49, 0.000300, 0.037780, 0.036337, 128
cage4, 49, 0.000300, 0.037704, 0.037092, 256
cage4, 49, 0.000300, 0.037795, 0.037448, 512
cage4, 49, 0.000300, 0.040013, 0.038110, 1024
mhda416, 8562, 0.008850, 0.776098, 0.725410, 128
mhda416, 8562, 0.008850, 0.655129, 0.710866, 256
mhda416, 8562, 0.008850, 0.516988, 0.651732, 512
mhda416, 8562, 0.008850, 0.518490, 0.670943, 1024
mcfe, 24382, 0.027650, 1.757475, 1.453916, 128
mcfe, 24382, 0.027650, 1.384716, 1.427377, 256
mcfe, 24382, 0.027650, 1.088720, 1.360728, 512
mcfe, 24382, 0.027650, 0.772070, 1.123253, 1024
olm1000, 3996, 0.004250, 0.551776, 0.427806, 128
olm1000, 3996, 0.004250, 0.576819, 0.447331, 256
olm1000, 3996, 0.004250, 0.522678, 0.456793, 512
olm1000, 3996, 0.004250, 0.464948, 0.384741, 1024
adder_dcop_32, 11246, 0.018400, 0.259682, 0.106055, 128
adder_dcop_32, 11246, 0.018400, 0.255834, 0.100606, 256
adder_dcop_32, 11246, 0.018400, 0.256553, 0.100679, 512
adder_dcop_32, 11246, 0.018400, 0.248316, 0.100738, 1024
west2021, 7353, 0.008000, 0.951475, 0.231578, 128
west2021, 7353, 0.008000, 0.920133, 0.752445, 256
west2021, 7353, 0.008000, 0.827541, 0.721189, 512
west2021, 7353, 0.008000, 0.629327, 0.617742, 1024
cavity10, 76367, 0.080100, 5.656141, 4.552378, 128
cavity10, 76367, 0.080100, 4.436592, 4.399552, 256
cavity10, 76367, 0.080100, 3.014905, 3.772323, 512
cavity10, 76367, 0.080100, 1.702690, 2.615459, 1024
rdist2, 56934, 0.057550, 4.244601, 3.286318, 128
rdist2, 56934, 0.057550, 3.629175, 3.175207, 256
rdist2, 56934, 0.057550, 2.521292, 2.626607, 512
rdist2, 56934, 0.057550, 1.564811, 1.820557, 1024
cant, 4007383, 7.500200, 15.091043, 43.165724, 128
cant, 4007383, 7.500200, 14.335113, 43.196751, 256
cant, 4007383, 7.500200, 13.191052, 42.875534, 512
cant, 4007383, 7.500200, 7.730877, 42.914000, 1024
olafu, 1015156, 1.245350, 18.429753, 19.008102, 128
olafu, 1015156, 1.245350, 16.452340, 20.563904, 256
olafu, 1015156, 1.245350, 12.946287, 20.416109, 512
olafu, 1015156, 1.245350, 8.077122, 19.726879, 1024
Cube_Coup_dt0, 127206144, 161.630650, 10.062778, 39.353370, 128
Cube_Coup_dt0, 127206144, 161.630650, 10.223111, 39.327937, 256
Cube_Coup_dt0, 127206144, 161.630650, 8.864169, 39.278302, 512
Cube_Coup_dt0, 127206144, 161.630650, 5.062255, 39.270636, 1024
ML_Laplace, 27689972, 35.711400, 8.405331, 39.455018, 128
ML_Laplace, 27689972, 35.711400, 7.373392, 39.503901, 256
ML_Laplace, 27689972, 35.711400, 6.455929, 39.611800, 512
ML_Laplace, 27689972, 35.711400, 4.130986, 39.642756, 1024
bcsstk17, 428650, 0.450350, 13.905872, 8.167274, 128
bcsstk17, 428650, 0.450350, 13.603439, 8.673120, 256
bcsstk17, 428650, 0.450350, 10.007778, 8.390031, 512
bcsstk17, 428650, 0.450350, 5.160966, 7.964143, 1024
mac_econ_fwd500, 1273389, 1.879750, 22.249143, 12.362222, 128
mac_econ_fwd500, 1273389, 1.879750, 22.051198, 12.901722, 256
mac_econ_fwd500, 1273389, 1.879750, 21.073052, 12.145473, 512
mac_econ_fwd500, 1273389, 1.879750, 17.458892, 11.997138, 1024
mhd4800a, 102252, 0.093100, 6.639377, 6.675175, 128
mhd4800a, 102252, 0.093100, 6.094846, 6.593484, 256
mhd4800a, 102252, 0.093100, 4.251297, 5.879307, 512
mhd4800a, 102252, 0.093100, 2.580835, 4.431308, 1024
cop20k_A, 2624331, 4.800650, 18.819702, 37.939006, 128
cop20k_A, 2624331, 4.800650, 18.363463, 38.433241, 256
cop20k_A, 2624331, 4.800650, 15.631594, 38.246584, 512
cop20k_A, 2624331, 4.800650, 10.005824, 38.208107, 1024
raefsky2, 294276, 0.337200, 13.598529, 14.035964, 128
raefsky2, 294276, 0.337200, 9.115090, 12.578335, 256
raefsky2, 294276, 0.337200, 5.166074, 11.183931, 512
raefsky2, 294276, 0.337200, 2.612366, 7.161790, 1024
af23560, 484256, 0.455300, 12.865652, 15.165343, 128
af23560, 484256, 0.455300, 12.745219, 14.719004, 256
af23560, 484256, 0.455300, 11.684905, 15.030768, 512
af23560, 484256, 0.455300, 8.804260, 13.400636, 1024
lung2, 492564, 0.519900, 14.866519, 8.680973, 128
lung2, 492564, 0.519900, 9.415203, 8.849060, 256
lung2, 492564, 0.519900, 14.646061, 8.503991, 512
lung2, 492564, 0.519900, 13.396170, 8.554138, 1024
PR02R, 8185136, 14.245850, 15.782287, 38.947605, 128
PR02R, 8185136, 14.245850, 15.478536, 38.900130, 256
PR02R, 8185136, 14.245850, 14.294038, 38.669853, 512
PR02R, 8185136, 14.245850, 8.008628, 38.403983, 1024
FEM_3D_thermal1, 430740, 0.391450, 13.353141, 12.156832, 128
FEM_3D_thermal1, 430740, 0.391450, 12.129109, 11.237197, 256
FEM_3D_thermal1, 430740, 0.391450, 11.321437, 12.814595, 512
FEM_3D_thermal1, 430740, 0.391450, 7.368276, 11.912950, 1024
thermal1, 574458, 0.818450, 17.294315, 15.734098, 128
thermal1, 574458, 0.818450, 17.272125, 14.597661, 256
thermal1, 574458, 0.818450, 16.988185, 14.742384, 512
thermal1, 574458, 0.818450, 17.453044, 12.689305, 1024
thermal2, 8580313, 23.382200, 40.758604, 53.241845, 128
thermal2, 8580313, 23.382200, 40.581246, 53.406454, 256
thermal2, 8580313, 23.382200, 40.371940, 52.615401, 512
thermal2, 8580313, 23.382200, 38.044384, 52.247644, 1024
thermomech_TK, 711558, 1.257350, 18.935538, 23.780299, 128
thermomech_TK, 711558, 1.257350, 21.975496, 23.356925, 256
thermomech_TK, 711558, 1.257350, 21.080065, 21.468794, 512
thermomech_TK, 711558, 1.257350, 19.107269, 22.006266, 1024
nlpkkt80, 28704672, 33.492300, 12.543812, 33.745472, 128
nlpkkt80, 28704672, 33.492300, 12.433955, 33.463120, 256
nlpkkt80, 28704672, 33.492300, 12.559030, 33.627023, 512
nlpkkt80, 28704672, 33.492300, 8.093565, 33.386425, 1024
webbase-1M, 3105536, 6.915900, 15.569563, 5.971636, 128
webbase-1M, 3105536, 6.915900, 16.339324, 5.596004, 256
webbase-1M, 3105536, 6.915900, 16.139037, 5.699755, 512
webbase-1M, 3105536, 6.915900, 16.788251, 5.878692, 1024
dc1, 766396, 0.907850, 0.139679, 0.037996, 128
dc1, 766396, 0.907850, 0.130313, 0.037924, 256
dc1, 766396, 0.907850, 0.137854, 0.038549, 512
dc1, 766396, 0.907850, 0.137440, 0.038781, 1024
amazon0302, 1234877, 3.597850, 45.952840, 44.586118, 128
amazon0302, 1234877, 3.597850, 44.063652, 44.267501, 256
amazon0302, 1234877, 3.597850, 44.689792, 42.970691, 512
amazon0302, 1234877, 3.597850, 41.662614, 41.381234, 1024
af_1_k101, 17550675, 22.068450, 13.648368, 37.052169, 128
af_1_k101, 17550675, 22.068450, 13.212755, 37.027501, 256
af_1_k101, 17550675, 22.068450, 11.752150, 36.839989, 512
af_1_k101, 17550675, 22.068450, 5.530445, 36.844811, 1024
roadNet-PA, 3083796, 9.904200, 52.697612, 44.331707, 128
roadNet-PA, 3083796, 9.904200, 51.623953, 46.234296, 256
roadNet-PA, 3083796, 9.904200, 51.042053, 46.677061, 512
roadNet-PA, 3083796, 9.904200, 50.548139, 44.463220, 1024
