matrix, nz, time_serial, speedup_csr, speedup_hll, nThreads
cage4, 49, 0.000300, 0.039111, 0.036351, 128
cage4, 49, 0.000300, 0.036564, 0.037925, 256
cage4, 49, 0.000300, 0.038564, 0.037818, 512
cage4, 49, 0.000300, 0.039457, 0.039120, 1024
mhda416, 8562, 0.008850, 1.053371, 0.922336, 128
mhda416, 8562, 0.008850, 1.075909, 0.902325, 256
mhda416, 8562, 0.008850, 1.087758, 0.868192, 512
mhda416, 8562, 0.008850, 0.916529, 0.772521, 1024
mcfe, 24382, 0.027650, 2.983641, 2.398841, 128
mcfe, 24382, 0.027650, 3.115985, 2.370542, 256
mcfe, 24382, 0.027650, 3.172036, 2.325562, 512
mcfe, 24382, 0.027650, 2.657427, 1.975903, 1024
olm1000, 3996, 0.004250, 0.506242, 0.434525, 128
olm1000, 3996, 0.004250, 0.505952, 0.433603, 256
olm1000, 3996, 0.004250, 0.488371, 0.397107, 512
olm1000, 3996, 0.004250, 0.490898, 0.393519, 1024
adder_dcop_32, 11246, 0.018400, 1.515551, 0.969564, 128
adder_dcop_32, 11246, 0.018400, 1.531904, 0.963553, 256
adder_dcop_32, 11246, 0.018400, 1.547988, 0.850277, 512
adder_dcop_32, 11246, 0.018400, 1.324427, 0.738980, 1024
west2021, 7353, 0.008000, 0.779788, 0.623908, 128
west2021, 7353, 0.008000, 0.767813, 0.594460, 256
west2021, 7353, 0.008000, 0.776277, 0.572803, 512
west2021, 7353, 0.008000, 0.673673, 0.515570, 1024
cavity10, 76367, 0.080100, 5.979040, 4.089071, 128
cavity10, 76367, 0.080100, 6.111891, 4.101803, 256
cavity10, 76367, 0.080100, 5.762922, 4.012383, 512
cavity10, 76367, 0.080100, 5.477897, 3.599806, 1024
rdist2, 56934, 0.057550, 4.118245, 1.442963, 128
rdist2, 56934, 0.057550, 4.109305, 2.849687, 256
rdist2, 56934, 0.057550, 3.828499, 2.675649, 512
rdist2, 56934, 0.057550, 3.364395, 2.380775, 1024
cant, 4007383, 7.500200, 50.850193, 24.529054, 128
cant, 4007383, 7.500200, 48.887991, 24.230586, 256
cant, 4007383, 7.500200, 47.000331, 23.977254, 512
cant, 4007383, 7.500200, 44.814770, 20.957866, 1024
olafu, 1015156, 1.245350, 26.217453, 13.369010, 128
olafu, 1015156, 1.245350, 23.067505, 13.266017, 256
olafu, 1015156, 1.245350, 22.908634, 13.251111, 512
olafu, 1015156, 1.245350, 20.886163, 11.801133, 1024
