matrix, M, N, nz, type, avgTime, avgGFlops, nThreads
cage4, 9, 9, 49, serial, 0.000089, 1.100410, 1
cage4, 9, 9, 49, CSR, 0.011467, 0.008546, 40
cage4, 9, 9, 49, HLL, 0.018876, 0.005192, 40
mhda416, 416, 416, 8562, serial, 0.009289, 1.843399, 1
mhda416, 416, 416, 8562, CSR, 0.019515, 0.877482, 40
mhda416, 416, 416, 8562, HLL, 0.022885, 0.748262, 40
mcfe, 765, 765, 24382, serial, 0.028718, 1.698027, 1
mcfe, 765, 765, 24382, CSR, 0.015734, 3.099253, 40
mcfe, 765, 765, 24382, HLL, 0.032181, 1.515291, 40
olm1000, 1000, 1000, 3996, serial, 0.004117, 1.940987, 1
olm1000, 1000, 1000, 3996, CSR, 0.015300, 0.522361, 40
olm1000, 1000, 1000, 3996, HLL, 0.030593, 0.261238, 40
adder_dcop_32, 1813, 1813, 11246, serial, 0.021643, 1.039216, 1
adder_dcop_32, 1813, 1813, 11246, CSR, 0.014333, 1.569202, 40
adder_dcop_32, 1813, 1813, 11246, HLL, 0.077377, 0.290681, 40
west2021, 2021, 2021, 7353, serial, 0.008464, 1.737386, 1
west2021, 2021, 2021, 7353, CSR, 0.012367, 1.189118, 40
west2021, 2021, 2021, 7353, HLL, 0.033057, 0.444873, 40
cavity10, 2597, 2597, 76367, serial, 0.080780, 1.890751, 1
cavity10, 2597, 2597, 76367, CSR, 0.017945, 8.511029, 40
cavity10, 2597, 2597, 76367, HLL, 0.060553, 2.522306, 40
rdist2, 3198, 3198, 56934, serial, 0.055211, 2.062423, 1
rdist2, 3198, 3198, 56934, CSR, 0.021958, 5.185685, 40
rdist2, 3198, 3198, 56934, HLL, 0.065111, 1.748827, 40
cant, 62451, 62451, 4007383, serial, 4.642206, 1.726499, 1
cant, 62451, 62451, 4007383, CSR, 0.724469, 11.062956, 40
cant, 62451, 62451, 4007383, HLL, 1.907893, 4.200846, 40
olafu, 16146, 16146, 1015156, serial, 1.089004, 1.864375, 1
olafu, 16146, 16146, 1015156, CSR, 0.059087, 34.361498, 40
olafu, 16146, 16146, 1015156, HLL, 0.251663, 8.067581, 40
Cube_Coup_dt0, 2164760, 2164760, 127206144, serial, 145.206059, 1.752078, 1
Cube_Coup_dt0, 2164760, 2164760, 127206144, CSR, 48.325353, 5.264572, 40
Cube_Coup_dt0, 2164760, 2164760, 127206144, HLL, 69.983829, 3.635301, 40
ML_Laplace, 377002, 377002, 27689972, serial, 32.073754, 1.726644, 1
ML_Laplace, 377002, 377002, 27689972, CSR, 9.724994, 5.694599, 40
ML_Laplace, 377002, 377002, 27689972, HLL, 15.151894, 3.654985, 40
bcsstk17, 10974, 10974, 428650, serial, 0.421315, 2.034818, 1
