matrix, M, N, nz, type, avgTime, avgGFlops, nThreads
cage4, 9, 9, 49, CSR, 0.020576, 0.004763, 40
cage4, 9, 9, 49, HLL, 0.015907, 0.006161, 40
mhda416, 416, 416, 8562, CSR, 0.054790, 0.312539, 40
mhda416, 416, 416, 8562, HLL, 0.019857, 0.862365, 40
mcfe, 765, 765, 24382, CSR, 0.063229, 0.771226, 40
mcfe, 765, 765, 24382, HLL, 0.024431, 1.995967, 40
olm1000, 1000, 1000, 3996, CSR, 0.072940, 0.109570, 40
olm1000, 1000, 1000, 3996, HLL, 0.025952, 0.307955, 40
adder_dcop_32, 1813, 1813, 11246, CSR, 0.076500, 0.294013, 40
adder_dcop_32, 1813, 1813, 11246, HLL, 0.076537, 0.293873, 40
west2021, 2021, 2021, 7353, CSR, 0.075400, 0.195040, 40
west2021, 2021, 2021, 7353, HLL, 0.031245, 0.470671, 40
cavity10, 2597, 2597, 76367, CSR, 0.089198, 1.712303, 40
cavity10, 2597, 2597, 76367, HLL, 0.037561, 4.066281, 40
rdist2, 3198, 3198, 56934, CSR, 0.096631, 1.178376, 40
rdist2, 3198, 3198, 56934, HLL, 0.038203, 2.980595, 40
cant, 62451, 62451, 4007383, CSR, 1.216416, 6.588835, 40
cant, 62451, 62451, 4007383, HLL, 1.510378, 5.306465, 40
olafu, 16146, 16146, 1015156, CSR, 0.125921, 16.123759, 40
olafu, 16146, 16146, 1015156, HLL, 0.128099, 15.849540, 40
Cube_Coup_dt0, 2164760, 2164760, 127206144, CSR, 69.020458, 3.686042, 40
Cube_Coup_dt0, 2164760, 2164760, 127206144, HLL, 69.444747, 3.663521, 40
ML_Laplace, 377002, 377002, 27689972, CSR, 14.381431, 3.850795, 40
ML_Laplace, 377002, 377002, 27689972, HLL, 14.655746, 3.778719, 40
bcsstk17, 10974, 10974, 428650, CSR, 0.108555, 7.897394, 40
bcsstk17, 10974, 10974, 428650, HLL, 0.073763, 11.622408, 40
mac_econ_fwd500, 206500, 206500, 1273389, CSR, 0.225016, 11.318201, 40
mac_econ_fwd500, 206500, 206500, 1273389, HLL, 1.456456, 1.748613, 40
mhd4800a, 4800, 4800, 102252, CSR, 0.098562, 2.074867, 40
mhd4800a, 4800, 4800, 102252, HLL, 0.046110, 4.435134, 40
cop20k_A, 121192, 121192, 2624331, CSR, 0.852956, 6.153499, 40
cop20k_A, 121192, 121192, 2624331, HLL, 1.254476, 4.183947, 40
raefsky2, 3242, 3242, 294276, CSR, 0.076252, 7.718561, 40
raefsky2, 3242, 3242, 294276, HLL, 0.049295, 11.939493, 40
af23560, 23560, 23560, 484256, CSR, 0.113013, 8.569903, 40
af23560, 23560, 23560, 484256, HLL, 0.078331, 12.364310, 40
lung2, 109460, 109460, 492564, CSR, 0.143887, 6.846555, 40
lung2, 109460, 109460, 492564, HLL, 0.124300, 7.925396, 40
PR02R, 161070, 161070, 8185136, CSR, 3.845283, 4.257235, 40
PR02R, 161070, 161070, 8185136, HLL, 5.097697, 3.211308, 40
FEM_3D_thermal1, 17880, 17880, 430740, CSR, 0.116395, 7.401337, 40
FEM_3D_thermal1, 17880, 17880, 430740, HLL, 0.074929, 11.497316, 40
thermal1, 82654, 82654, 574458, CSR, 0.141343, 8.128572, 40
thermal1, 82654, 82654, 574458, HLL, 0.120704, 9.518420, 40
thermal2, 1228045, 1228045, 8580313, CSR, 4.953599, 3.464274, 40
thermal2, 1228045, 1228045, 8580313, HLL, 5.538870, 3.098218, 40
thermomech_TK, 102158, 102158, 711558, CSR, 0.155838, 9.132015, 40
thermomech_TK, 102158, 102158, 711558, HLL, 0.139932, 10.170030, 40
nlpkkt80, 1062400, 1062400, 28704672, CSR, 15.397166, 3.728566, 40
nlpkkt80, 1062400, 1062400, 28704672, HLL, 15.679257, 3.661484, 40
webbase-1M, 1000005, 1000005, 3105536, CSR, 2.031078, 3.058017, 40
webbase-1M, 1000005, 1000005, 3105536, HLL, 8.593672, 0.722750, 40
dc1, 116835, 116835, 766396, CSR, 0.306429, 5.002118, 40
dc1, 116835, 116835, 766396, HLL, 19.504244, 0.078588, 40
amazon0302, 262111, 262111, 1234877, CSR, 0.267601, 9.229234, 40
amazon0302, 262111, 262111, 1234877, HLL, 0.260859, 9.467770, 40
af_1_k101, 503625, 503625, 17550675, CSR, 9.212563, 3.810161, 40
af_1_k101, 503625, 503625, 17550675, HLL, 9.171132, 3.827374, 40
roadNet-PA, 1090920, 1090920, 3083796, CSR, 1.656382, 3.723533, 40
roadNet-PA, 1090920, 1090920, 3083796, HLL, 2.037352, 3.027260, 40
