matrix, M, N, nz, type, avgTime, avgGFlops, nThreads
cage4, 9, 9, 49, serial, 0.000066, 1.485728, 1
cage4, 9, 9, 49, CSR, 0.000322, 0.304696, 1
cage4, 9, 9, 49, HLL, 0.000397, 0.246548, 1
cage4, 9, 9, 49, CSR, 0.001083, 0.090457, 2
cage4, 9, 9, 49, HLL, 0.001389, 0.070549, 2
cage4, 9, 9, 49, CSR, 0.003204, 0.030587, 3
cage4, 9, 9, 49, HLL, 0.003982, 0.024609, 3
cage4, 9, 9, 49, CSR, 0.003767, 0.026016, 4
cage4, 9, 9, 49, HLL, 0.004800, 0.020416, 4
cage4, 9, 9, 49, CSR, 0.004280, 0.022899, 5
cage4, 9, 9, 49, HLL, 0.004798, 0.020424, 5
cage4, 9, 9, 49, CSR, 0.004584, 0.021378, 6
cage4, 9, 9, 49, HLL, 0.005260, 0.018629, 6
cage4, 9, 9, 49, CSR, 0.004007, 0.024454, 7
cage4, 9, 9, 49, HLL, 0.005092, 0.019247, 7
cage4, 9, 9, 49, CSR, 0.004489, 0.021833, 8
cage4, 9, 9, 49, HLL, 0.005343, 0.018341, 8
cage4, 9, 9, 49, CSR, 0.005969, 0.016417, 9
cage4, 9, 9, 49, HLL, 0.007177, 0.013654, 9
cage4, 9, 9, 49, CSR, 0.004809, 0.020381, 10
cage4, 9, 9, 49, HLL, 0.005877, 0.016674, 10
cage4, 9, 9, 49, CSR, 0.005919, 0.016556, 11
cage4, 9, 9, 49, HLL, 0.008132, 0.012052, 11
cage4, 9, 9, 49, CSR, 0.005414, 0.018103, 12
cage4, 9, 9, 49, HLL, 0.006621, 0.014800, 12
cage4, 9, 9, 49, CSR, 0.005848, 0.016758, 13
cage4, 9, 9, 49, HLL, 0.008179, 0.011981, 13
cage4, 9, 9, 49, CSR, 0.007471, 0.013118, 14
cage4, 9, 9, 49, HLL, 0.009110, 0.010757, 14
cage4, 9, 9, 49, CSR, 0.009724, 0.010079, 15
cage4, 9, 9, 49, HLL, 0.011190, 0.008758, 15
cage4, 9, 9, 49, CSR, 0.006716, 0.014592, 16
cage4, 9, 9, 49, HLL, 0.010825, 0.009053, 16
cage4, 9, 9, 49, CSR, 0.006641, 0.014757, 17
cage4, 9, 9, 49, HLL, 0.009710, 0.010093, 17
cage4, 9, 9, 49, CSR, 0.006833, 0.014341, 18
cage4, 9, 9, 49, HLL, 0.008995, 0.010895, 18
cage4, 9, 9, 49, CSR, 0.006823, 0.014364, 19
