matrix, nz, time_serial, speedup_csr, speedup_hll, nThreads
cage4, 49, 0.000073, 0.006100, 0.006656, 40
mhda416, 8562, 0.009048, 0.662723, 0.657335, 40
mcfe, 24382, 0.028836, 1.977507, 1.852996, 40
olm1000, 3996, 0.004079, 0.294433, 0.288953, 40
adder_dcop_32, 11246, 0.018305, 1.286230, 0.315750, 40
west2021, 7353, 0.007856, 0.594961, 0.593759, 40
cavity10, 76367, 0.074621, 4.469265, 3.512470, 40
rdist2, 56934, 0.054603, 3.296342, 2.304220, 40
cant, 4007383, 4.475002, 10.665580, 6.510510, 40
olafu, 1015156, 1.064512, 19.662820, 11.967105, 40
Cube_Coup_dt0, 127206144, 141.175126, 2.953412, 2.943265, 40
ML_Laplace, 27689972, 31.494646, 3.274164, 3.246956, 40
bcsstk17, 428650, 0.437053, 13.658400, 11.210412, 40
mac_econ_fwd500, 1273389, 1.562332, 22.420020, 1.895014, 40
mhd4800a, 102252, 0.095002, 5.077921, 4.614512, 40
cop20k_A, 2624331, 4.352547, 17.749395, 7.194389, 40
raefsky2, 294276, 0.333522, 14.164817, 10.219328, 40
af23560, 484256, 0.457947, 12.271851, 12.581734, 40
lung2, 492564, 0.484465, 12.063553, 8.853452, 40
PR02R, 8185136, 9.134025, 4.036103, 2.898665, 40
FEM_3D_thermal1, 430740, 0.387530, 12.086894, 11.218045, 40
thermal1, 574458, 0.758831, 16.997557, 16.343822, 40
thermal2, 8580313, 14.915781, 4.150003, 3.514934, 40
thermomech_TK, 711558, 1.088182, 16.590306, 15.117207, 40
nlpkkt80, 28704672, 30.600140, 2.886200, 2.899381, 40
webbase-1M, 3105536, 5.935571, 7.044710, 0.620935, 40
dc1, 766396, 0.820395, 4.458413, 0.018099, 40
amazon0302, 1234877, 2.891634, 19.707702, 18.262569, 40
af_1_k101, 17550675, 19.756706, 3.403371, 3.245958, 40
roadNet-PA, 3083796, 9.459061, 10.322343, 7.123920, 40
