matrix, nz, time_serial, speedup_csr, speedup_hll, nThreads
cage4, 49, 0.000072, 0.003762, 0.004194, 40
mhda416, 8562, 0.009131, 0.163930, 0.473418, 40
mcfe, 24382, 0.028388, 0.436606, 1.157133, 40
olm1000, 3996, 0.004023, 0.053101, 0.146336, 40
adder_dcop_32, 11246, 0.018320, 0.226854, 0.241208, 40
west2021, 7353, 0.007821, 0.099957, 0.241981, 40
cavity10, 76367, 0.073713, 0.794666, 2.011733, 40
rdist2, 56934, 0.053202, 0.566298, 1.411760, 40
cant, 4007383, 4.650739, 3.522231, 2.887762, 40
olafu, 1015156, 1.071897, 8.772928, 8.599726, 40
Cube_Coup_dt0, 127206144, 145.441820, 2.077777, 2.079802, 40
ML_Laplace, 27689972, 31.901795, 2.206408, 2.155339, 40
bcsstk17, 428650, 0.411587, 3.900576, 5.644426, 40
mac_econ_fwd500, 1273389, 1.578881, 6.894244, 1.063079, 40
mhd4800a, 102252, 0.092688, 0.934094, 1.985568, 40
cop20k_A, 2624331, 4.320068, 5.243950, 3.460930, 40
raefsky2, 294276, 0.325914, 4.190193, 6.800474, 40
af23560, 484256, 0.425730, 3.742711, 5.638150, 40
lung2, 492564, 0.487360, 3.228132, 3.875026, 40
PR02R, 8185136, 9.445180, 2.522712, 1.929154, 40
FEM_3D_thermal1, 430740, 0.393197, 3.367480, 5.269079, 40
thermal1, 574458, 0.729517, 5.214758, 6.085536, 40
thermal2, 8580313, 15.308344, 3.066159, 2.713306, 40
thermomech_TK, 711558, 1.059077, 6.639029, 7.552696, 40
nlpkkt80, 28704672, 31.441088, 1.985524, 1.978696, 40
webbase-1M, 3105536, 5.943008, 2.870217, 0.691454, 40
dc1, 766396, 0.835834, 2.710686, 0.040006, 40
amazon0302, 1234877, 2.933082, 11.119066, 11.246502, 40
af_1_k101, 17550675, 20.308214, 2.214714, 2.186663, 40
roadNet-PA, 3083796, 9.258357, 5.494238, 4.739608, 40
