matrix, nz, time_serial, speedup_csr, speedup_hll, nThreads
cage4, 49, 0.000070, 0.205372, 0.160062, 1
cage4, 49, 0.000070, 0.066631, 0.049519, 2
cage4, 49, 0.000070, 0.019890, 0.020738, 3
cage4, 49, 0.000070, 0.021094, 0.015141, 4
cage4, 49, 0.000070, 0.013711, 0.014075, 5
cage4, 49, 0.000070, 0.015629, 0.011827, 6
cage4, 49, 0.000070, 0.016859, 0.012475, 7
cage4, 49, 0.000070, 0.016613, 0.011922, 8
cage4, 49, 0.000070, 0.013601, 0.009824, 9
cage4, 49, 0.000070, 0.014621, 0.008581, 10
cage4, 49, 0.000070, 0.010932, 0.009273, 11
cage4, 49, 0.000070, 0.013965, 0.008393, 12
cage4, 49, 0.000070, 0.012495, 0.008863, 13
cage4, 49, 0.000070, 0.009071, 0.007308, 14
cage4, 49, 0.000070, 0.009129, 0.006323, 15
cage4, 49, 0.000070, 0.009845, 0.008469, 16
cage4, 49, 0.000070, 0.010500, 0.007535, 17
cage4, 49, 0.000070, 0.010435, 0.008078, 18
cage4, 49, 0.000070, 0.009808, 0.006964, 19
cage4, 49, 0.000070, 0.009485, 0.007422, 20
cage4, 49, 0.000070, 0.008902, 0.006271, 21
cage4, 49, 0.000070, 0.006817, 0.005591, 22
cage4, 49, 0.000070, 0.008914, 0.007256, 23
cage4, 49, 0.000070, 0.008249, 0.006949, 24
cage4, 49, 0.000070, 0.006196, 0.005304, 25
cage4, 49, 0.000070, 0.007898, 0.006154, 26
cage4, 49, 0.000070, 0.007923, 0.006082, 27
cage4, 49, 0.000070, 0.007712, 0.006222, 28
cage4, 49, 0.000070, 0.007942, 0.006353, 29
cage4, 49, 0.000070, 0.005738, 0.003132, 30
cage4, 49, 0.000070, 0.005839, 0.004756, 31
cage4, 49, 0.000070, 0.007647, 0.006072, 32
cage4, 49, 0.000070, 0.005710, 0.004862, 33
cage4, 49, 0.000070, 0.006803, 0.005283, 34
cage4, 49, 0.000070, 0.006330, 0.005964, 35
cage4, 49, 0.000070, 0.006185, 0.005394, 36
cage4, 49, 0.000070, 0.005357, 0.004588, 37
cage4, 49, 0.000070, 0.006216, 0.002495, 38
cage4, 49, 0.000070, 0.006196, 0.005474, 39
cage4, 49, 0.000070, 0.006019, 0.005170, 40
mhda416, 8562, 0.009048, 0.961351, 0.464367, 1
mhda416, 8562, 0.009048, 1.689472, 0.784951, 2
mhda416, 8562, 0.009048, 1.182930, 0.843680, 3
mhda416, 8562, 0.009048, 1.869184, 1.029038, 4
mhda416, 8562, 0.009048, 2.085573, 1.040319, 5
mhda416, 8562, 0.009048, 1.755830, 1.111661, 6
mhda416, 8562, 0.009048, 1.795002, 0.920174, 7
mhda416, 8562, 0.009048, 1.824019, 1.076154, 8
mhda416, 8562, 0.009048, 1.808350, 1.018127, 9
mhda416, 8562, 0.009048, 1.547682, 0.916494, 10
mhda416, 8562, 0.009048, 1.788278, 0.850151, 11
mhda416, 8562, 0.009048, 1.446897, 0.783630, 12
mhda416, 8562, 0.009048, 1.380876, 0.762455, 13
mhda416, 8562, 0.009048, 1.647444, 0.778933, 14
mhda416, 8562, 0.009048, 1.590027, 0.821684, 15
mhda416, 8562, 0.009048, 1.458255, 0.807283, 16
mhda416, 8562, 0.009048, 1.457703, 0.843704, 17
mhda416, 8562, 0.009048, 1.207610, 0.730364, 18
mhda416, 8562, 0.009048, 1.324818, 0.702741, 19
mhda416, 8562, 0.009048, 1.297422, 0.707219, 20
mhda416, 8562, 0.009048, 1.104386, 0.624579, 21
mhda416, 8562, 0.009048, 0.789713, 0.550027, 22
mhda416, 8562, 0.009048, 0.820144, 0.549221, 23
mhda416, 8562, 0.009048, 1.026830, 0.587107, 24
mhda416, 8562, 0.009048, 0.789236, 0.522020, 25
mhda416, 8562, 0.009048, 0.946073, 0.569688, 26
mhda416, 8562, 0.009048, 0.968648, 0.557973, 27
mhda416, 8562, 0.009048, 0.924892, 0.575580, 28
mhda416, 8562, 0.009048, 0.754447, 0.489582, 29
mhda416, 8562, 0.009048, 0.967047, 0.588522, 30
mhda416, 8562, 0.009048, 0.908959, 0.564629, 31
mhda416, 8562, 0.009048, 0.895260, 0.570770, 32
mhda416, 8562, 0.009048, 0.880557, 0.552616, 33
mhda416, 8562, 0.009048, 0.698356, 0.480754, 34
mhda416, 8562, 0.009048, 0.680631, 0.496664, 35
mhda416, 8562, 0.009048, 0.834842, 0.524601, 36
mhda416, 8562, 0.009048, 0.657924, 0.477915, 37
mhda416, 8562, 0.009048, 0.810369, 0.565536, 38
mhda416, 8562, 0.009048, 0.758778, 0.511941, 39
mhda416, 8562, 0.009048, 0.812079, 0.551684, 40
